establecimiento,localidad,provincia,grano,capacidad_tecnica_24hs_tonelada_2014,geojson,geom
Aceitera Chabás S.A ,Chabás,santa fe,soja,4000,"{""type"":""Point"",""coordinates"":[-61.363943,-33.234632]}",0101000020E6100000D74D29AF95AE4EC02B4CDF6B089E40C0
Aceitera del Litoral S.A.,Parana,entre rios,lino y soja,600,"{""type"":""Point"",""coordinates"":[-60.568318,-31.710964]}",0101000020E610000033DDEBA4BE484EC023A298BC01B63FC0
Aceitera Gral. Deheza SAICA,Gral. Deheza,cordoba,girasol y soja,7000,"{""type"":""Point"",""coordinates"":[-63.790609,-32.750455]}",0101000020E61000002E76FBAC32E54FC0520FD1E80E6040C0
Aceitera Ricedal ,Chabas,santa fe,soja,300,"{""type"":""Point"",""coordinates"":[-61.349007,-33.23381]}",0101000020E61000009C89E942ACAC4EC027BD6F7CED9D40C0
AFA (Agríc. Federados Args.) ,Los Cardos ,santa fe,soja y otros,600,"{""type"":""Point"",""coordinates"":[-61.633847,-32.328751]}",0101000020E610000078D503E621D14EC07EC34483142A40C0
Agroindustria Madero S.A. ,Villa Madero,buenos aires,girasol y soja,700,"{""type"":""Point"",""coordinates"":[-58.511085,-34.688284]}",0101000020E6100000F33CB83B6B414DC0172EABB0195841C0
Arcor S.A.I.C. ,San Pedro ,buenos aires,germen de maiz,100,"{""type"":""Point"",""coordinates"":[-59.678932,-33.698543]}",0101000020E61000009C1A683EE7D64DC0C4EC65DB69D940C0
Bio-Com S.A.,Pilar,cordoba,,,"{""type"":""Point"",""coordinates"":[-63.888118,-31.680663]}",0101000020E6100000957EC2D9ADF14FC0E5982CEE3FAE3FC0
Bunge Argentina S.A.,Ramallo,buenos aires,soja,3000,"{""type"":""Point"",""coordinates"":[-60.046076,-33.455841]}",0101000020E6100000B49080D1E5054EC0859675FF58BA40C0
Bunge Argentina S.A.,San Jerónimo Sur ,santa fe,soja,2000,"{""type"":""Point"",""coordinates"":[-60.989226,-32.889046]}",0101000020E61000002C2D23F59E7E4EC0DF516342CC7140C0
Bunge Argentina S.A.,Pto. San Martín ,santa fe,soja,8000,"{""type"":""Point"",""coordinates"":[-60.727798,-32.713735]}",0101000020E61000000F0C207C285D4EC05A8121AB5B5B40C0
Bunge Argentina S.A.,Tancacha,cordoba,"soja, maíz, caramo y girasol",1000,"{""type"":""Point"",""coordinates"":[-63.972514,-32.24412]}",0101000020E61000007973B8567BFC4FC05726FC523F1F40C0
Buyatti S.A.I.C.A. ,Reconquista ,santa fe,"girasol, algodon y caramo",1456,"{""type"":""Point"",""coordinates"":[-59.665021,-29.141633]}",0101000020E61000009D137B681FD54DC0CC086F0F42243DC0
Buyatti S.A.I.C.A. ,Pto. San Martín,santa fe,soja,3350,"{""type"":""Point"",""coordinates"":[-60.732895,-32.703572]}",0101000020E61000007233DC80CF5D4EC0CF30B5A50E5A40C0
Cargill SACI,Pto. Quequén ,buenos aires,girasol y soja,2000,"{""type"":""Point"",""coordinates"":[-58.702485,-38.526024]}",0101000020E61000001D774A07EB594DC09F7422C1544343C0
Cargill S.A.C.I.,Ing. White ,buenos aires,girasol y soja,2200,"{""type"":""Point"",""coordinates"":[-62.269364,-38.78815]}",0101000020E6100000215C01857A224FC0D42B6519E26443C0
Cargill SACI Pto. ,Vª Gob. Galvez,santa fe,soja,13000,"{""type"":""Point"",""coordinates"":[-60.588815,-33.037831]}",0101000020E61000007632384A5E4B4EC032E36DA5D78440C0
Cargill SACI Pto. ,Quebracho,santa fe,soja,9000,"{""type"":""Point"",""coordinates"":[-60.733477,-32.665963]}",0101000020E610000021AF0793E25D4EC04BAC8C463E5540C0
Cia. Aceitera de Tartagal,Taratagal,salta,tartago,40,"{""type"":""Point"",""coordinates"":[-63.808739,-22.517209]}",0101000020E6100000F8FF71C284E74FC066321CCF678436C0
C.I.D.A. Cía. Ind. de Aceites SCA,Nogoyá,entre rios,lino y soja,120,"{""type"":""Point"",""coordinates"":[-59.80159,-32.384553]}",0101000020E61000007B6649809AE64DC0124A5F08393140C0
"Coop. Agr. Ltda, de Picada Libertad",L. N. Alem ,misiones,tung,140,"{""type"":""Point"",""coordinates"":[-55.339102,-27.597664]}",0101000020E61000000C01C0B167AB4BC01EFF058200993BC0
Entre Rios Crushing S.A.,Pque Ind Gualeguaychu,entre rios,soja,1000,"{""type"":""Point"",""coordinates"":[-58.60883,-33.030087]}",0101000020E61000006E693524EE4D4DC073840CE4D98340C0
Gensiroil S.A.,Bahia Blanca,buenos aires,girasol,500,"{""type"":""Point"",""coordinates"":[-62.368647,-38.694944]}",0101000020E61000005F622CD32F2F4FC09546CCECF35843C0
Gente de La Pampa SA,Catriló,la pampa,girasol,300,"{""type"":""Point"",""coordinates"":[-63.434367,-36.4134]}",0101000020E610000017BB7D5699B74FC04D158C4AEA3442C0
Germaíz S.A. ,Baradero ,buenos aires,"maíz, soja y girasol",300,"{""type"":""Point"",""coordinates"":[-59.504641,-33.79873]}",0101000020E6100000419C871398C04DC0C32ADEC83CE640C0
Green Lake S.A. - Bco. Nación Arg,Lucas González ,entre rios,lino y soja,250,"{""type"":""Point"",""coordinates"":[-58.614429,-33.034008]}",0101000020E6100000645B069CA54E4DC0B4E6C75F5A8440C0
Ingredion S.A.,Chacabuco,buenos aires,germen de maiz,150,"{""type"":""Point"",""coordinates"":[-60.490669,-34.621875]}",0101000020E61000009C14E63DCE3E4EC09A999999994F41C0
La Oleaginosa de Huanguelen,Pque Ind. Bolivar,buenos aires,soja,300,"{""type"":""Point"",""coordinates"":[-61.135305,-36.205772]}",0101000020E61000001EFE9AAC51914EC05D37A5BC561A42C0
LDC Argentina S.A.,Gral. Lagos ,santa fe,soja,12000,"{""type"":""Point"",""coordinates"":[-60.523372,-33.123111]}",0101000020E610000031D28BDAFD424EC09163EB19C28F40C0
LDC Argentina S.A.,Timbues,santa fe,soja,8000,"{""type"":""Point"",""coordinates"":[-60.774316,-32.59665]}",0101000020E6100000806264C91C634EC04694F6065F4C40C0
Molino Cañuelas S.A.C.I.F.I.A.,Cañuelas ,buenos aires,girasol,1200,"{""type"":""Point"",""coordinates"":[-58.750133,-35.057576]}",0101000020E61000003F53AF5B04604DC06A847EA65E8741C0
Molinos Rio de la Plata S.A.,Rosario,santa fe,girasol y caramo,1500,"{""type"":""Point"",""coordinates"":[-60.684153,-32.990087]}",0101000020E6100000EB3A545392574EC0EE98BA2BBB7E40C0
Molinos Rio de la Plata S.A.,San Lorenzo,santa fe,soja,20000,"{""type"":""Point"",""coordinates"":[-60.684153,-32.990087]}",0101000020E6100000EB3A545392574EC0EE98BA2BBB7E40C0
Nidera Sociedad Anónima,Pto. San Martín ,santa fe,soja,6500,"{""type"":""Point"",""coordinates"":[-60.726813,-32.694737]}",0101000020E610000061A75835085D4EC01C295B24ED5840C0
Nidera Sociedad Anónima,Saforcada (Junín) ,buenos aires,girasol y soja,4500,"{""type"":""Point"",""coordinates"":[-61.031197,-34.585501]}",0101000020E6100000DD5D6743FE834EC03D635FB2F14A41C0
Noble Argentina S.A.,Timbues,santa fe,soja,9500,"{""type"":""Point"",""coordinates"":[-60.769167,-32.605948]}",0101000020E6100000CB14731074624EC0CE893DB48F4D40C0
Nueva Aceitera Ticino S.A.,Ticino,cordoba,soja y mani,200,"{""type"":""Point"",""coordinates"":[-63.431849,-32.69986]}",0101000020E6100000B8E7F9D346B74FC0A8E33103955940C0
Oleag. Gral. Cabrera OLCA SA,Gral. Cabrera,cordoba,soja y mani,270,"{""type"":""Point"",""coordinates"":[-63.873196,-32.809447]}",0101000020E6100000BF7FF3E2C4EF4FC0336C94F59B6740C0
Oleaginosa Moreno Hnos. SA ,Quequen,buenos aires,girasol,1350,"{""type"":""Point"",""coordinates"":[-58.706147,-38.56293]}",0101000020E610000092955F06635A4DC0F9F719170E4843C0
Oleaginosa Moreno SA,Gral. Villegas ,buenos aires,,,"{""type"":""Point"",""coordinates"":[-63.004961,-35.047502]}",0101000020E6100000B360E28FA2804FC04F3FA88B148641C0
Oleaginosa Moreno S.A. ,Daireaux ,buenos aires,girasol y soja,1800,"{""type"":""Point"",""coordinates"":[-61.736837,-36.602375]}",0101000020E6100000CBBDC0AC50DE4EC0C976BE9F1A4D42C0
Oleaginosa San Lorenzo S.A.,Puerto S. Lorenzo ,santa fe,soja,10000,"{""type"":""Point"",""coordinates"":[-60.763533,-32.765581]}",0101000020E610000059350873BB614EC030B8E68EFE6140C0
Oleos del Centro S.A.,Rio Tercero,cordoba,soja,350,"{""type"":""Point"",""coordinates"":[-64.115519,-32.166926]}",0101000020E610000044C4CDA9640750C0116DC7D45D1540C0
Oleos Santafesinos S.A. ,Santo Tomé,santa fe,soja,200,"{""type"":""Point"",""coordinates"":[-60.818426,-31.665217]}",0101000020E61000001A19E42EC2684EC044BE4BA94BAA3FC0
Protoil S.A.,Manuel Ocampo,buenos aires,soja,750,"{""type"":""Point"",""coordinates"":[-60.64953,-33.759864]}",0101000020E6100000ACE28DCC23534EC031B43A3943E140C0
Renova,Timbues,santa fe,soja,20000,"{""type"":""Point"",""coordinates"":[-60.788669,-32.584329]}",0101000020E61000003C2F151BF3644EC05C8DEC4ACB4A40C0
S.E.D.A. S.A. ,Lezama,buenos aires,girasol y soja,380,"{""type"":""Point"",""coordinates"":[-57.900071,-35.86994]}",0101000020E6100000FC89CA8635F34CC0BABDA4315AEF41C0
Siete Soles S.A.,Salto,buenos aires,soja,50,"{""type"":""Point"",""coordinates"":[-60.24709,-34.29939]}",0101000020E6100000969526A5A01F4EC0EE5F5969522641C0
Tanoni Hnos. S.A.,Bombal ,santa fe,soja,500,"{""type"":""Point"",""coordinates"":[-61.319222,-33.450629]}",0101000020E6100000F5143944DCA84EC089D00836AEB940C0
Terminal 6 Industrial SA,Pto. San Martín ,santa fe,soja,20000,"{""type"":""Point"",""coordinates"":[-60.74303,-32.660596]}",0101000020E610000033F9669B1B5F4EC028EFE3688E5440C0
Vicentin SAIC (Planta Puerto),Puerto S. Lorenzo ,santa fe,soja,6500,"{""type"":""Point"",""coordinates"":[-60.725907,-32.770805]}",0101000020E6100000FF774485EA5C4EC0F14BFDBCA96240C0
Vicentin S.A.I.C. (Planta Ruta 12),San Lorenzo,santa fe,girasol y soja,4000,"{""type"":""Point"",""coordinates"":[-60.725907,-32.770805]}",0101000020E6100000FF774485EA5C4EC0F14BFDBCA96240C0
Viluco S.A.,Fias,santiago del estero,soja,3000,"{""type"":""Point"",""coordinates"":[-61.48012,-28.578167]}",0101000020E6100000E813799274BD4EC05EA0A4C002943CC0
